Cat.,Zaneen Model #,Series,Description, CAD MSRP  , USD MSRP  
A,L2234315,KY,Surface - 17.5W LED -120V -3000K -2392lm -Black,872.00,702.00
A,L2234378,KY,Surface - 17.5W LED -120V -3000K -2392lm -White / Silver Gray,872.00,702.00
A,L2234385,KY,Surface - 17.5W LED -120V -3000K -2392lm -Black / Silver Gray,872.00,702.00
A,L2234415,KY,Surface - 25W LED -120V -4000K -3204lm -Black,922.00,742.00
A,L2234478,KY,Surface - 25W LED -120V -4000K -3204lm -White / Silver Gray,922.00,742.00
A,L2234485,KY,Surface - 25W LED -120V -4000K -3204lm -Black / Silver Gray,922.00,742.00
A,L2234515,KY,Surface - 25W LED -120V -3000K -3101lm -Black,922.00,742.00
A,L2234578,KY,Surface - 25W LED -120V -3000K -3101lm -White / Silver Gray,922.00,742.00
A,L2234585,KY,Surface - 25W LED -120V -3000K -3101lm -Black / Silver Gray,922.00,742.00
A,L2234615,KY,Surface - 50W QR-CB / 10W LED - GU5.3 -120V - Black,718.00,576.00
A,L2234678,KY,Surface - 50W QR-CB / 10W LED - GU5.3 -120V - White / Silver Gray,718.00,576.00
A,L2234685,KY,Surface - 50W QR-CB / 10W LED - GU5.3 -120V -  Black / Silver Gray,718.00,576.00
A,L2234715,KY,Surface - 36W LED -120V -4000K -5483 -Black,1248.00,998.00
A,L2234778,KY,Surface - 36W LED -120V -4000K -5483 -White / Silver Gray,1248.00,998.00
A,L2234785,KY,Surface - 36W LED -120V -4000K -5483 -Black / Silver Gray,1248.00,998.00
A,L2234815,KY,Surface - 36W LED -120V -3000K -5319 -Black,1248.00,998.00
A,L2234878,KY,Surface - 36W LED -120V -3000K -5319 -White / Silver Gray,1248.00,998.00
A,L2234885,KY,Surface - 36W LED -120V -3000K -5319 -Black / Silver Gray,1248.00,998.00
A,L2918415,KY,Transparent Glass - 15°   - Black,74.00,60.00
A,L2918416,KY,Transparent Glass - 15°  - White,74.00,60.00
A,L2918428,KY,Transparent Glass - 15°  -Silver Gray,74.00,60.00
A,L2918515,KY,Transparent Glass - 25°   - Black,74.00,60.00
A,L2918516,KY,Transparent Glass - 25°  - White,74.00,60.00
A,L2918528,KY,Transparent Glass - 25°  -Silver Gray,74.00,60.00
A,L2918715,KY,Prismatic Glass - 50°   - Black,120.00,96.00
A,L2918716,KY,Prismatic Glass - 50°  - White,120.00,96.00
A,L2918728,KY,Prismatic Glass - 50°  -Silver Gray,120.00,96.00
A,L2918815,KY,Transparent Glass - 15°   - Black,82.00,66.00
A,L2918816,KY,Transparent Glass - 15°  - White,82.00,66.00
A,L2918828,KY,Transparent Glass - 15°  -Silver Gray,82.00,66.00
A,L2918915,KY,Transparent Glass - 25°   - Black,82.00,66.00
A,L2918916,KY,Transparent Glass - 25°  - White,82.00,66.00
A,L2918928,KY,Transparent Glass - 25°  -Silver Gray,82.00,66.00
A,L2919115,KY,Prismatic Glass - 50°   - Black,130.00,104.00
A,L2919116,KY,Prismatic Glass - 50°  - White,130.00,104.00
A,L2919128,KY,Prismatic Glass - 50°  -Silver Gray,130.00,104.00
A,L2924315,KY,Transparent Glass - 15°   - Black,88.00,72.00
A,L2924316,KY,Transparent Glass - 15°  - White,88.00,72.00
A,L2924328,KY,Transparent Glass - 15°  -Silver Gray,88.00,72.00
A,L2924415,KY,Transparent Glass - 25°   - Black,88.00,72.00
A,L2924416,KY,Transparent Glass - 25°  - White,88.00,72.00
A,L2924428,KY,Transparent Glass - 25°  -Silver Gray,88.00,72.00
A,L2924515,KY,Transparent Glass - 40°   - Black,88.00,72.00
A,L2924516,KY,Transparent Glass - 40°  - White,88.00,72.00
A,L2924528,KY,Transparent Glass - 40°  -Silver Gray,88.00,72.00
A,L2924615,KY,Prismatic Glass - 50°   - Black,136.00,110.00
A,L2924616,KY,Prismatic Glass - 50°  - White,136.00,110.00
A,L2924628,KY,Prismatic Glass - 50°  -Silver Gray,136.00,110.00
A,L2919215,KY,Transparent Glass - 15°   - Black,98.00,80.00
A,L2919216,KY,Transparent Glass - 15°  - White,98.00,80.00
A,L2919228,KY,Transparent Glass - 15°  -Silver Gray,98.00,80.00
A,L2919315,KY,Transparent Glass - 25°   - Black,98.00,80.00
A,L2919316,KY,Transparent Glass - 25°  - White,98.00,80.00
A,L2919328,KY,Transparent Glass - 25°  -Silver Gray,98.00,80.00
A,L2919415,KY,Transparent Glass - 40°   - Black,98.00,80.00
A,L2919416,KY,Transparent Glass - 40°  - White,98.00,80.00
A,L2919428,KY,Transparent Glass - 40°  -Silver Gray,98.00,80.00
A,L2919515,KY,Prismatic Glass - 50°   - Black,176.00,142.00
A,L2919516,KY,Prismatic Glass - 50°  - White,176.00,142.00
A,L2919528,KY,Prismatic Glass - 50°  -Silver Gray,176.00,142.00
A,L2907315,KY,Asymmetrical Screen for B09 - Black,126.00,102.00
A,L2907316,KY,Asymmetrical Screen for B09 - White,126.00,102.00
A,L2907328,KY,Asymmetrical Screen for B09 - Silver Gray,126.00,102.00
A,L2907415,KY,Asymmetrical Screen for B12 - Black,148.00,120.00
A,L2907416,KY,Asymmetrical Screen for B12 - White,148.00,120.00
A,L2907428,KY,Asymmetrical Screen for B12 - Silver Gray,148.00,120.00
A,L2907915,KY,Honeycomb Screen for B09,114.00,92.00
A,L2908015,KY,Honeycomb Screen for B12,154.00,124.00
A,L2908500,KY,Transparent Glass for B09,32.00,26.00
A,L2908503,KY,Sandblasted Glass for B09,32.00,26.00
A,L2908512,KY,Yellow Dichroic Filter for B09,136.00,110.00
A,L2908513,KY,Blue Dichroic Filter for B09,136.00,110.00
A,L2908514,KY,Red Dichroic Filter for B09,146.00,118.00
A,L2908600,KY,Transparent Glass for B12,26.00,22.00
A,L2908603,KY,Sandblasted Glass for B12,38.00,32.00
A,L2908612,KY,Yellow Dichroic Filter for B12,146.00,118.00
A,L2908613,KY,Blue Dichroic Filter for B12,146.00,118.00
A,L2908614,KY,Red Dichroic Filter for B12,160.00,130.00
A,L2907615,KY,Barns Doors for B09,400.00,322.00
A,L2907715,KY,Barns Doors for B12,438.00,352.00
A,L2911002,KY,Refractor for Elliptical Distribution of luminous Flux - B09,24.00,18.00
A,L2911102,KY,Refractor for Elliptical Distribution of luminous Flux - B12,30.00,24.00
A,L2723615,KRUYS,Track Spot - 18W LED -120V -3000K -15° -1638lm - Transparent diffuser - Black,1094.00,880.00
A,L2723616,KRUYS,Track Spot - 18W LED -120V -3000K -15° -1638lm - Transparent diffuser - White,1094.00,880.00
A,L2723623,KRUYS,Track Spot - 18W LED -120V -3000K -15° -1638lm - Transparent diffuser - Chrome,1258.00,1014.00
A,L2723628,KRUYS,Track Spot - 18W LED -120V -3000K -15° -1638lm- Transparent diffuser - Silver Gray,1094.00,880.00
A,L2723715,KRUYS,Track Spot - 18W LED -120V -3000K -25° -1638lm - Transparent diffuser - Black,1094.00,880.00
A,L2723716,KRUYS,Track Spot - 18W LED -120V -3000K -25° -1638lm - Transparent diffuser - White,1094.00,880.00
A,L2723723,KRUYS,Track Spot - 18W LED -120V -3000K -25° -1638lm - Transparent diffuser - Chrome,1258.00,1014.00
A,L2723728,KRUYS,Track Spot - 18W LED -120V -3000K -25° -1638lm - Transparent diffuser - Silver Gray,1094.00,880.00
A,L2723815,KRUYS,Track Spot - 18W LED -120V -3000K -60° -1638lm - Transparent diffuser - Black,1094.00,880.00
A,L2723816,KRUYS,Track Spot - 18W LED -120V -3000K -60° -1638lm - Transparent diffuser - White,1094.00,880.00
A,L2723823,KRUYS,Track Spot - 18W LED -120V -3000K -60° -1638lm - Transparent diffuser - Chrome,1258.00,1014.00
A,L2723828,KRUYS,Track Spot - 18W LED -120V -3000K -60° -1638lm - Transparent diffuser - Silver Gray,1094.00,880.00
A,L2729815,KRUYS,Track Spot - 18W LED -120V -4000K -15° -1673lm - Transparent diffuser - Black,1094.00,880.00
A,L2729816,KRUYS,Track Spot - 18W LED -120V -4000K -15° -1673lm - Transparent diffuser - White,1094.00,880.00
A,L2729823,KRUYS,Track Spot - 18W LED -120V -4000K -15° -1673lm - Transparent diffuser - Chrome,1258.00,1014.00
A,L2729828,KRUYS,Track Spot - 18W LED -120V -4000K -15° -1673lm - Transparent diffuser - Silver Gray,1094.00,880.00
A,L2729915,KRUYS,Track Spot - 18W LED -120V -4000K -25° -1673lm - Transparent diffuser - Black,1094.00,880.00
